_varname,point_estimate,se_iqr
"mean_k1",-.14135262,.06880525
"mean_k2",-.03877242,.07317202
"mean_k3",.32668797,.06381577
"mean_k4",.19477953,.03468882
"mean_k5",1.5849281,.13287392
"mean_k6",.11289163,.06582321
"mean_k7",.91027825,.1018171
"mean_k8",-.22355927,.03705343
"mean_k9",.17644148,.10913869
"mean_k10",1.88601,.21603271
"mean_k11",-.76385857,.12032021
"mean_k12",1.4171189,.09761634
"eta_c_p",.42667939,.16917699
"pi",.12015051,.00421211
"beta",0,0
"eta_h1_w1",.68949154,.16477961
"eta_h2_w2",.96475092,.26050681
"eta_c_w1",-.16834311,.08483345
"eta_h1_p",.13035987,.06346632
"eta_c_w2",-.05212195,.07913297
"eta_h2_p",.08229871,.12288106
"eta_h1_w2",.16460882,.07947757
"eta_h2_w1",.3356425,.16230649
"s_report",.7078251,.01218344
"s_u1_1",.04310637,.01126243
"s_u1_2",.01631862,.01158645
"s_u1_3",.03637423,.01568591
"s_u1_4",-.00244196,.01219554
"s_u1_5",.0408153,.01632543
"s_v1_1",.0272974,.00729256
"s_v1_2",.02640412,.00799901
"s_v1_3",.01460622,.01018232
"s_v1_4",.04998974,.01261248
"s_v1_5",.03774179,.01089274
"s_u2_1",.02565146,.01308238
"s_u2_2",.00526449,.00956762
"s_u2_3",.01572811,.01095723
"s_u2_4",.01107067,.00853424
"s_u2_5",-.01914637,.01275355
"s_v2_1",.04423838,.01062201
"s_v2_2",.04465066,.00863073
"s_v2_3",.0245488,.00812674
"s_v2_4",.03235086,.00690187
"s_v2_5",.05055829,.0133696
"r_u1u2_1",.01240216,.00692183
"r_u1u2_2",.00601895,.00594635
"r_u1u2_3",.00072358,.00606361
"r_u1u2_4",.00201979,.0051739
"r_u1u2_5",.01164637,.00588963
"r_v1v2_1",-.00076812,.0066985
"r_v1v2_2",.00182998,.00472916
"r_v1v2_3",.00508388,.00334467
"r_v1v2_4",.00720669,.00355855
"r_v1v2_5",.00016963,.00522582
"r_u1",0,0
"r_u2",0,0
"r_v1",0,0
"r_v2",0,0
"s_omega",.03323274,.00201465
"observations",7295,
